title,author,category,published_year,image,description
Clean Code,Robert C. Martin,Technology,2008,clean_code.jpg,A practical guide to writing readable maintainable and efficient software code.
The Pragmatic Programmer,Andrew Hunt and David Thomas,Technology,1999,pragmatic_programmer.jpg,A classic software engineering book focused on practical programming habits.
Python Crash Course,Eric Matthes,Technology,2019,python_crash_course.jpg,An introductory guide to Python programming with hands-on projects.
Automate the Boring Stuff with Python,Al Sweigart,Technology,2015,automate_python.jpg,A beginner friendly book about using Python to automate everyday tasks.
Artificial Intelligence A Modern Approach,Stuart Russell and Peter Norvig,Technology,2020,artificial_intelligence.jpg,A comprehensive textbook covering artificial intelligence concepts and algorithms.
Hands-On Machine Learning,Aurélien Géron,Technology,2019,hands_on_ml.jpg,A practical guide to machine learning with Scikit-Learn Keras and TensorFlow.
Introduction to Algorithms,Thomas H. Cormen,Technology,2009,introduction_algorithms.jpg,A detailed textbook about algorithms data structures and computational problem solving.
Design Patterns,Erich Gamma,Technology,1994,design_patterns.jpg,A foundational book about reusable object-oriented software design patterns.
Database System Concepts,Abraham Silberschatz,Technology,2019,database_system_concepts.jpg,A complete introduction to relational databases SQL and database design.
Computer Networking A Top-Down Approach,James Kurose and Keith Ross,Technology,2021,computer_networking.jpg,A structured introduction to computer networks and internet protocols.
Operating System Concepts,Abraham Silberschatz,Technology,2018,operating_system_concepts.jpg,A textbook covering processes memory file systems and operating system design.
Deep Learning,Ian Goodfellow and Yoshua Bengio and Aaron Courville,Technology,2016,deep_learning.jpg,A theoretical and practical introduction to deep learning methods.
Flask Web Development,Miguel Grinberg,Technology,2018,flask_web_development.jpg,A practical book about building web applications with Flask and Python.
Learning SQL,Alan Beaulieu,Technology,2020,learning_sql.jpg,A beginner friendly introduction to SQL and relational database querying.
Data Science from Scratch,Joel Grus,Technology,2019,data_science_scratch.jpg,A book explaining data science principles using Python.
A Brief History of Time,Stephen Hawking,Science,1988,brief_history_of_time.jpg,An accessible introduction to cosmology black holes and the universe.
The Selfish Gene,Richard Dawkins,Science,1976,selfish_gene.jpg,A science book explaining evolution from the perspective of genes.
Cosmos,Carl Sagan,Science,1980,cosmos.jpg,A popular science book exploring astronomy life and the universe.
The Gene,Siddhartha Mukherjee,Science,2016,the_gene.jpg,A historical and scientific exploration of genetics and heredity.
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Science,2010,henrietta_lacks.jpg,A story about medical research ethics cells and scientific discovery.
The Elegant Universe,Brian Greene,Science,1999,elegant_universe.jpg,A book explaining string theory relativity and modern physics.
Silent Spring,Rachel Carson,Science,1962,silent_spring.jpg,A landmark environmental science book about pesticides and nature.
The Origin of Species,Charles Darwin,Science,1859,origin_species.jpg,A foundational work about evolution and natural selection.
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Science,2017,astrophysics_hurry.jpg,A short introduction to major ideas in astrophysics.
The Body,Bill Bryson,Science,2019,the_body.jpg,A readable guide to the human body and how it works.
The Lean Startup,Eric Ries,Business,2011,lean_startup.jpg,A business book about building startups through experimentation and validated learning.
Good to Great,Jim Collins,Business,2001,good_to_great.jpg,A management book analyzing how companies move from good performance to greatness.
